,Rank,"Release Group
",Worldwide,Domestic,%,Foreign,%
84,85,Detective Conan: The Time Bombed Skyscraper,"$79,547",-,-,"$79,547",100%
85,86,The King's Warden,"$73,159",-,-,"$73,159",100%
86,87,Zir-i Cin 4: Nesep Bagi,"$70,432",-,-,"$70,432",100%
87,88,Finch & Midland,"$67,413",-,-,"$67,413",100%
88,89,Psoty,"$64,496",-,-,"$64,496",100%
89,90,Bhartha Mahasayulaku Wignyapthi,"$63,682",-,-,"$63,682",100%
90,91,Ikkis,"$62,514",-,-,"$62,514",100%
91,92,Boy,"$61,102",-,-,"$61,102",100%
92,93,Wild,"$58,610",-,-,"$58,610",100%
93,94,Divine Comedy,"$58,428",-,-,"$58,428",100%
94,95,Mary Cherry Chua,"$54,507",-,-,"$54,507",100%
95,96,My Boo 2,"$54,119",-,-,"$54,119",100%
96,97,Arco 2026 Re-release,"$50,780","$45,303",89.2%,"$5,477",10.8%
97,98,Easy Girl,"$45,555",-,-,"$45,555",100%
98,99,The Helsinki Effect,"$40,736",-,-,"$40,736",100%
99,100,The Square,"$38,607",-,-,"$38,607",100%
100,101,Povratak Zikine dinastije 2,"$38,202",-,-,"$38,202",100%
101,102,"Yesterday, Today and Tomorrow","$37,898",-,-,"$37,898",100%
102,103,Rahu Ketu,"$34,506",-,-,"$34,506",100%
103,104,Obex,"$32,452","$32,452",100%,-,-
104,105,Escape from the Outland,"$31,956",-,-,"$31,956",100%
105,106,A Woman Called Mother,"$29,875",-,-,"$29,875",100%
106,107,Baab,"$29,310",-,-,"$29,310",100%
107,108,Babil-i Cin 2,"$27,462",-,-,"$27,462",100%
108,109,Princess Stella,"$26,545",-,-,"$26,545",100%
109,110,Call Me Mother,"$26,256",-,-,"$26,256",100%
110,111,The Great Warsaw Race,"$26,157",-,-,"$26,157",100%
111,112,Hunting Season,"$25,006",-,-,"$25,006",100%
112,113,The Fire Raven,"$24,146",-,-,"$24,146",100%
113,114,Zaverbovannyy,"$22,865",-,-,"$22,865",100%
114,115,The Mysterious Gaze of the Flamingo,"$21,962",-,-,"$21,962",100%
115,116,"Girls Band Cry The Movie: Hey, Our Future","$21,929",-,-,"$21,929",100%
116,117,Love of Siam 2026 Re-release,"$21,306",-,-,"$21,306",100%
117,118,Orokamono no Mibun,"$20,784",-,-,"$20,784",100%
118,119,Kharetat Raas Al Sana,"$20,090",-,-,"$20,090",100%
119,120,Queen Kelly,"$19,899","$19,899",100%,-,-
120,121,Pennu Case,"$19,013",-,-,"$19,013",100%
121,122,Beneath the Light,"$14,943",-,-,"$14,943",100%
122,123,Kisaragi Station Re:,"$13,858",-,-,"$13,858",100%
123,124,Affinity,"$13,831",-,-,"$13,831",100%
124,125,El Mal,"$13,441",-,-,"$13,441",100%
125,126,Shkola Baby-Yagi,"$12,834",-,-,"$12,834",100%
126,127,Lost Highway 2026 Re-Release,"$12,601",-,-,"$12,601",100%
127,128,Dolphin Summer,"$12,339",-,-,"$12,339",100%
128,129,Mr. Nobody Against Putin,"$11,787","$11,787",100%,-,-
129,130,Jai Kanhaiyalall Ki,"$11,436",-,-,"$11,436",100%
130,131,Mindiyum Paranjum,"$11,037",-,-,"$11,037",100%
131,132,Lumi'nin Kayip Yumurtasi,"$10,889",-,-,"$10,889",100%
132,133,Send Help,"$10,821",-,-,"$10,821",100%
133,134,Romzsa Tódor,"$9,724",-,-,"$9,724",100%
134,135,Magic Mushrooms,"$9,654",-,-,"$9,654",100%
135,136,Blokadnye sudby,"$9,648",-,-,"$9,648",100%
136,137,This Is a Robbery!,"$9,439",-,-,"$9,439",100%
137,138,The Dreamer Cinderella,"$8,880","$8,880",100%,-,-
138,139,Zombie Land Saga: Yumeginga Paradise,"$8,867",-,-,"$8,867",100%
139,140,Unexpected Family,"$8,354",-,-,"$8,354",100%
140,141,Let It Rain,"$7,651",-,-,"$7,651",100%
141,142,Carnival Is Over,"$7,289",-,-,"$7,289",100%
142,143,Jana Nayagan,"$6,820",-,-,"$6,820",100%
143,144,Hell in Paradise,"$5,817",-,-,"$5,817",100%
144,145,Psych Siddhartha,"$5,511",-,-,"$5,511",100%
145,146,The Wrecker,"$4,929",-,-,"$4,929",100%
146,147,Projapati 2,"$4,047",-,-,"$4,047",100%
147,148,Eraserhead 2026 Re-Release,"$3,749",-,-,"$3,749",100%
148,149,My Father's Scent,"$3,727",-,-,"$3,727",100%
149,150,Madklubben: Hjemme Igen,"$3,592",-,-,"$3,592",100%
150,151,Conversation Piece 2025 Re-release,"$3,568","$3,568",100%,-,-
151,152,Killing Faith,"$2,466",-,-,"$2,466",100%
152,153,Aghosham,"$1,783",-,-,"$1,783",100%
153,154,Eraserheads: Combo on the Run,"$1,162",-,-,"$1,162",100%
154,155,Fushigi no Kuni de Arisu to Daibu in Wandârando,"$1,016",-,-,"$1,016",100%
155,156,Wolf Children 2026 Re-release,$313,-,-,$313,100%
156,157,Houseboat,$74,-,-,$74,100%
157,158,Hamlet,$72,-,-,$72,100%
158,159,Interiors 2026 Re-release,$39,-,-,$39,100%
159,160,EPiC: Elvis Presley in Concert,$8,-,-,$8,100%
